exp,atp,bcpwell,bc1,bc2,bc3,bc4,bc5,bc6,bc7,bc8,bc9,bc10,bc11,bc12,bc13,bc14,bc15,bc16,bc17,bc18,bc19,bc20,bc21,bc22,bc23,bc24,bc25,bc26,bc27,bc28,bc29,bc30,bc31,bc32,bc33,bc34,bc35,bc36,bc37,bc38,bc39,bc40,bc41,bc42,bc43,bc44,bc45,bc46,bc47,bc48,bc49,bc50,bc51,bc52,bc53,bc54,bc55,bc56,bc57,bc58,bc59,bc60,bc61,bc62,bc63,bc64,bc65,bc66,bc67,bc68,bc69,bc70,bc71,bc72,bc73,bc74,bc75,bc76,bc77,bc78,bc79,bc80,bc81,bc82,bc83,bc84,bc85,bc86,bc87,bc88,bc89,bc90,bc91,bc92
21,0,2,d1C2,d1D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,2,d1C3,d1D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,2,d1C4,d1D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,2,d1C5,d1D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,2,d1C6,d1D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,2,d1C7,d1D7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,2,d1C8,d1D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,2,d1C9,d1D9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,2,d1C10,d1D10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,2,d1C11,d1D11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,2,d1E2,d1F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,2,d1E3,d1F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,2,d1E4,d1F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,2,d1E5,d1F5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,2,d1E6,d1F6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,2,d1E7,d1F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,2,d1E8,d1F8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,2,d1E9,d1F9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,2,d1E10,d1F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,2,d1E11,d1F11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,1,d1F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,1,d1F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,1,d1F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,1,d1F5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,1,d1F6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,1,d1F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,1,d1F8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,1,d1F9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,1,d1F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,1,d1F11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,92,d1A2,d1A3,d1A4,d1A5,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1D12,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1E12,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1F12,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11
52,2,92,d1A2,d1A3,d1A4,d1A5,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1D12,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1E12,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1F12,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11
53,2,92,d1A2,d1A3,d1A4,d1A5,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1D12,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1E12,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1F12,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11
54,2,92,d1A2,d1A3,d1A4,d1A5,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1D12,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1E12,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1F12,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11
55,2,92,d1A2,d1A3,d1A4,d1A5,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1D12,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1E12,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1F12,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11
56,2,92,d1A2,d1A3,d1A4,d1A5,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1D12,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1E12,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1F12,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11
57,2,92,d1A2,d1A3,d1A4,d1A5,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1D12,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1E12,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1F12,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11
58,2,92,d1A2,d1A3,d1A4,d1A5,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1D12,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1E12,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1F12,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11
